"Nombre del color","Código hex","Color ""seguro para web"" más cercano"
"BLANCO","#FFFFFF","#FFFFFF"
"AZUR","#F0FFFF","#FFFFFF"
"CREMA","#F5FFFA","#FFFFFF"
"NIEVE","#FFFAFA","#FFFFFF"
"MARFIL","#FFFFF0","#FFFFFF"
"BLANCO FANTASMA","#F8F8FF","#FFFFFF"
"BLANCO FLORAL","#FFFAF0","#FFFFFF"
"AZUL ALICIA","#F0F8FF","#FFFFFF"
"CIAN CLARO","#E0FFFF","#CCFFFF"
"MELÓN VERDE","#F0FFF0","#FFFFFF"
"AMARILLO CLARO","#FFFFE0","#FFFFFF"
"CONCHA","#FFF5EE","#FFFFFF"
"SONROJO LAVANDA","#FFF0F5","#FFFFFF"
"HUMO BLANCO","#F5F5F5","#FFFFFF"
"ENCAJE ANTIGUO","#FDF5E6","#FFFFFF"
"SEDA DE MAÍZ","#FFF8DC","#FFFFCC"
"LINO","#FAF0E6","#FFFFFF"
"AMARILLO ALAMBRE DORADO CLARO","#FAFAD2","#FFFFCC"
"GASA LIMÓN","#FFFACD","#FFFFCC"
"BEIGE","#F5F5DC","#FFFFCC"
"LAVANDA","#E6E6FA","#CCCCFF"
"BATIDO DE PAPAYA","#FFEFD5","#FFFFCC"
"ROSA BRUMOSA","#FFE4E1","#FFCCCC"
"BLANCO ANTIGUO","#FAEBD7","#FFFFCC"
"BLANCO ALMENDRA","#FFEBCD","#FFFFCC"
"SOPA","#FFE4C4","#FFFFCC"
"TURQUESA PÁLIDO","#AFEEEE","#99FFFF"
"MOCASÍN","#FFE4B5","#FFCCCC"
"GAINSBORO","#DCDCDC","#CCCCCC"
"SOPLIDO MELOCOTÓN","#FFDAB9","#FFCCCC"
"BLANCO NAVAJO","#FFDEAD","#FFCC99"
"DORADO ALAMBRE PÁLIDO","#EEE8AA","#FFFF99"
"TRIGO","#F5DEB3","#FFCCCC"
"POLVO AZUL","#B0E0E6","#CCCCFF"
"AGUAMARINA","#7FFFD4","#66FFCC"
"GRIS CLARO","#D3D3D3","#CCCCCC"
"ROSA","#FFC0CB","#FFCCCC"
"AZUL CLARO","#ADD8E6","#99CCFF"
"CARDO","#D8BFD8","#CCCCCC"
"ROSA CLARO","#FFB6C1","#FFCCCC"
"AZUL CIELO CLARO","#87CEFA","#99CCFF"
"VERDE PÁLIDO","#98FB98","#99FF99"
"AZUL ACERO CLARO","#B0C4DE","#99CCCC"
"CAQUI","#F0D58C","#FFCC99"
"AZUL CIELO","#87CEEB","#99CCFF"
"AGUA","#00FFFF","#00FFFF"
